Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,lat,lon,sample
1660222387.1662076,480,1660222387,148283958,,59.30033142796182,18.73158354852012,6.795117975358906
1660222388.1804745,481,1660222388,148257970,,59.30032705961799,18.7315766635827,6.8721859911735175
1660222389.1686304,482,1660222389,148112058,,59.300329711707,18.731578374756964,6.82220428291654
1660222390.1692457,483,1660222390,148179054,,59.30033469602168,18.731587309509905,6.716366084052738
1660222391.1716125,484,1660222391,148159027,,59.30033671543231,18.73159362691956,6.756178785562467
1660222392.1668432,485,1660222392,148165941,,59.30033593107046,18.731599346000053,6.873578174099307
1660222393.1815305,486,1660222393,148519992,,59.30033469364991,18.731600486472416,6.921193371700002
1660222394.1714954,487,1660222394,147732973,,59.30033393468972,18.73160862688394,7.0662317450251
1660222395.165374,488,1660222395,148375034,,59.300334744352156,18.731628383741395,7.39081445531984
1660222396.1655698,489,1660222396,148215055,,59.300333537404974,18.73161716305526,7.199012076228453
1660222397.1752977,490,1660222397,150021076,,59.30033596585225,18.731632624120948,7.467071455515696
1660222398.176947,491,1660222398,149312019,,59.300333911297756,18.73164618478461,7.705396854485383
1660222399.1658905,492,1660222399,148176908,,59.300333464595525,18.731653910225077,7.82783691044466
1660222400.1689296,493,1660222400,148675918,,59.30033119700897,18.73163677195464,7.542236947197134
1660222401.166714,494,1660222401,148195028,,59.30033207744576,18.731636376433244,7.534997456569021
1660222402.173251,495,1660222402,148144960,,59.300333774706004,18.731628718452612,7.403835228660255
1660222403.1658716,496,1660222403,148093938,,59.30033931708362,18.731639683082676,7.607133564809384
1660222404.1690657,497,1660222404,148192882,,59.30034214758882,18.731647070415306,7.748904066959153
1660222405.1692936,498,1660222405,148324012,,59.30033895553547,18.731649794674013,7.780146319604437
1660222406.1704125,499,1660222406,149910926,,59.30034453540316,18.731636348828715,7.5404249464710125
1660222407.168963,500,1660222407,148188114,,59.30034459173444,18.731633557143596,7.476838355783371
1660222408.172783,501,1660222408,149106979,,59.30034500060977,18.731633882648225,7.484074212684839
1660222409.1693008,502,1660222409,148124933,,59.30034400689549,18.73162652622591,7.31889831365463
1660222410.1687179,503,1660222410,148144960,,59.30034242209208,18.731624668408358,7.286329487070933
1660222411.1682606,504,1660222411,148200035,,59.300342599932094,18.73162347246887,7.256824641140478
1660222412.170779,505,1660222412,148179054,,59.30034566043568,18.73163173944431,7.432916194879384
1660222413.1787856,506,1660222413,149306058,,59.30034568651605,18.73162306657889,7.229198410935163
1660222414.169965,507,1660222414,149034976,,59.30035444413935,18.73164441388974,7.753971489626245
1660222415.1809428,508,1660222415,148161888,,59.300351165543994,18.731643605170575,7.728500785256069
1660222416.1692512,509,1660222416,148350000,,59.300352206482756,18.73164390967463,7.736956770170646
1660222417.1675441,510,1660222417,148464918,,59.300353897843166,18.73164837942727,7.810502476512378
1660222418.1673717,511,1660222418,148634910,,59.300352498374764,18.73164904868429,7.813883486743879
1660222419.1723688,512,1660222419,149538993,,59.30035646405748,18.73164202637963,7.712224386667975
1660222420.1755874,513,1660222420,148376941,,59.300361692846806,18.731655730022,7.94518630983785
1660222421.168251,514,1660222421,148138046,,59.30035878373382,18.73165722238241,7.961047765333178
1660222422.1753013,515,1660222422,148191928,,59.300361685778824,18.731665015808858,8.097322874937191
1660222423.1651826,516,1660222423,148233890,,59.30036498491287,18.73167095479039,8.21090790996133
1660222424.1647584,517,1660222424,148133993,,59.300367019509494,18.731672733216556,8.23446998371113
1660222425.1694076,518,1660222425,148283004,,59.30036965304443,18.731679349471847,8.274100915511397
1660222426.16698,519,1660222426,148037910,,59.300367391177744,18.73167703025524,8.249257413598125
1660222427.165031,520,1660222427,149101972,,59.30035616663214,18.731647699757673,7.80805176787612
1660222428.1668065,521,1660222428,148104906,,59.30036531731501,18.73166603477057,8.1395037222371
1660222429.169199,522,1660222429,149226903,,59.30037037200445,18.731679315118868,8.280765729355887
1660222430.1682305,523,1660222430,148176908,,59.30037321560292,18.731689064771444,8.336627945050662
1660222431.1695116,524,1660222431,148350954,,59.30037585836321,18.731687395958716,8.357725593640328
1660222432.1675668,525,1660222432,148205041,,59.30037179400048,18.731693905717407,8.341665638898226
1660222433.1696193,526,1660222433,149593114,,59.30037032791754,18.731679242756172,8.28048859618582
1660222434.1758943,527,1660222434,148264884,,59.300369882303634,18.73167847075149,8.276088126596692
1660222435.171656,528,1660222435,148257017,,59.300373006262205,18.731684165684555,8.32003144870194
1660222436.168167,529,1660222436,149291038,,59.300373783431944,18.73168579116907,8.3311482130046
1660222437.1725354,530,1660222437,148380041,,59.30037181094429,18.731681945220885,8.302758006441053
1660222438.1657033,531,1660222438,149193048,,59.300368639267745,18.731670625194056,8.23897814065105
1660222439.1667027,532,1660222439,148236036,,59.30036808932583,18.731666047570343,8.158274498184245
1660222440.1773055,533,1660222440,149789094,,59.300374360646316,18.731685584851448,8.336784504198375
1660222441.171642,534,1660222441,148134946,,59.30037367457387,18.73168547005048,8.328929316510747
1660222442.1784096,535,1660222442,149180889,,59.30037511614422,18.731686445871446,8.344924186935229
1660222443.1803443,536,1660222443,149391889,,59.30037363729879,18.731670453945867,8.281218152376743
1660222444.1680453,537,1660222444,148139953,,59.300374446877576,18.731665103120577,8.180126315991794
1660222445.1726253,538,1660222445,148117065,,59.30037689796193,18.731665633835405,8.207511239225934
1660222446.1643765,539,1660222446,148049116,,59.30038176674815,18.731669370805548,8.326401883124753
1660222447.1717696,540,1660222447,148094892,,59.30038632536431,18.731667868258114,8.246540532790485
1660222448.172535,541,1660222448,148349046,,59.30038787179176,18.73167367548956,8.250773333336474
1660222449.1682277,542,1660222449,148987054,,59.300391579736846,18.73168012934923,8.108203189408318
1660222450.165012,543,1660222450,147815942,,59.30039432693315,18.731681918459913,7.991796702845905
1660222451.1620824,544,1660222451,147887945,,59.3003981811892,18.731687153443318,7.767213700513718
1660222452.168386,545,1660222452,148648023,,59.30040471232663,18.73168819987518,7.449677071402994
1660222453.1741164,546,1660222453,148102045,,59.3004075815419,18.731698009735965,7.101833447248813
1660222454.1666286,547,1660222454,148735046,,59.300404747834634,18.731700273084016,7.312941917725397
1660222455.1655967,548,1660222455,149312019,,59.30040823182753,18.731705265221535,7.220502888848981
1660222456.166529,549,1660222456,148191928,,59.3004111897583,18.73171108262727,7.192028380821601
